"","venue","show_date","Name","Spotify"
"66","Chop Shop",2023-10-09,"Digging Roots","6jXRPYI1uhTRJKuetXMRpj"
"67","Chop Shop",2023-10-09,"Novalima","2lN3yllrsFyoobMnKSfzsI"
"68","House of Blues",2023-10-09,"Chris Hayes","3JPK8qb4TtMe1oJADnQuai"
"69","House of Blues",2023-10-10,"TesseracT","23ytwhG1pzX6DIVWRWvW1r"
"70","House of Blues",2023-10-10,"Intervals","0xpJGyjbEzkWSNfcf2tcMl"
"71","House of Blues",2023-10-10,"Alluvial","7z2P2nNjtnAVnUavHIXZWQ"
"72","The Riviera Theatre",2023-10-10,"Raye","5KKpBU5eC2tJDzf0wmlRp2"
"73","Bottom Lounge",2023-10-10,"Emarosa","68tKVjVvcqUfKFFLr2j0Ek"
"74","Bottom Lounge",2023-10-10,"The Dangerous Summer","0iMnpaEHXkgMT956CmP1kj"
"75","Metro",2023-10-10,"Yeule","1WZarnZpWEv7dDtjAETt4X"
"76","The Vic Theatre",2023-10-11,"Daniel Jobim","2oldyqaqfci57x6W3WBTr8"
"77","The Vic Theatre",2023-10-11,"Seu Jorge","0i1s9WcIu0PrUvHzALgofo"
"78","The Riviera Theatre",2023-10-11,"Noname","1EpyA68dKpjf7jXmQL88Hy"
"79","House of Blues",2023-10-11,"A R I Z O N A","7hOGhpa8RMSuDOWntGIAJt"
"80","House of Blues",2023-10-11,"Fly By Midnight","4rQTEdG6hDVOlDUFKs9EjZ"
"81","Byline Bank Aragon Ballroom",2023-10-11,"Reneé Rapp","2hUYKu1x0UZQXvzCmggvSn"
"82","Byline Bank Aragon Ballroom",2023-10-11,"Alexander 23","6sFHvCyqklnJpXC9Nh1aag"
"83","Byline Bank Aragon Ballroom",2023-10-11,"Towa Bird","1Yq3rS7K1SQKqjMOHXpqqt"
"84","Metro",2023-10-11,"The Revivalists","5kuJibJcwOC53s3OkoGMRA"
"85","Schubas",2023-10-11,"Cece Coakley","41cBCgJoK9bpY0Qy2SWIRN"
"86","Schubas",2023-10-11,"Caroline Culver","6ykTQoJQsIFiHJg8IzOMu0"
