"","venue","show_date","Name","Spotify"
"286","Schubas",2023-10-29,"The Lighthouse and the Whaler","6ls5A8Wys9Swixpz4v6kj3"
"287","Schubas",2023-10-29,"MEOWBOYS","33Jz1r2Co8ANxW2w6GuGbf"
"288","Park West",2023-10-29,"Pedro Capó","4QVBYiagIaa6ZGSPMbybpy"
"289","House of Blues",2023-10-30,"Armor For Sleep","7eSbps3Uha3MMBNWhMYa2H"
"290","House of Blues",2023-10-30,"The Early November","2rxtSTPBJawYhQAXIpgEAi"
"291","House of Blues",2023-10-30,"The Spill Canvas","4W8SeWrRZUburGZyp5JwYj"
"292","Metro",2023-10-31,"Del Water Gap","0xPoVNPnxIIUS1vrxAYV00"
"293","Metro",2023-10-31,"Kristiane","2DBFAP6nXms5yPochyh2sZ"
"294","Schubas",2023-10-31,"Aidan Bissett","4XQI4hyuy5xun1ou3SM8Oe"
"295","Schubas",2023-10-31,"Anna Shoemaker","3STjhKc10jr3X60mDRpHV4"
"296","House of Blues",2023-10-31,"Sexyy Red","3DbwFQlvLxRSi2uX8mf81A"
"297","Byline Bank Aragon Ballroom",2023-11-01,"6LACK","4IVAbR2w4JJNJDDRFP3E83"
"298","Byline Bank Aragon Ballroom",2023-11-01,"Quin","3sHS70DMNgPxRqx2fUNrRA"
"299","Byline Bank Aragon Ballroom",2023-11-01,"Jordan Ward","3DGlTwdM5Dim9XQipb3jMf"
"300","The Riviera Theatre",2023-11-01,"Ben Howard","5schNIzWdI9gJ1QRK8SBnc"
"301","The Vic Theatre",2023-11-01,"Sampha","2WoVwexZuODvclzULjPQtm"
"302","House of Blues",2023-11-01,"Connor Price","5zixe6AbgXPqt4c1uSl94L"
"303","Metro",2023-11-01,"Barns Courtney","5tFRohaO5yEsuJxmMnlCO9"
"304","Chop Shop",2023-11-01,"Thurston Moore","1J4ACYB6yMqd79q3rjskqs"
"305","Lincoln Hall",2023-11-02,"GAYLE","2VSHKHBTiXWplO8lxcnUC9"
"306","Schubas",2023-11-02,"Noah Floersch","6fU24B4K9kWmFt5WTwwsLF"
"307","Schubas",2023-11-02,"Edgehill","0lzGqksyREdfUObGjLYLcT"
"308","House of Blues",2023-11-02,"Marvelous 3","3KI6zIpi3DotbOSOM0tK7o"
"309","Chop Shop",2023-11-02,"Grateful Shred","44G9mngUyQol4lNhoPIamb"
"310","Metro",2023-11-02,"Alan Palomo","1WdIwKJe6rahNw6FwDLyxd"
"311","The Vic Theatre",2023-11-02,"Dusty Slay","2TKmTiS99CwktgV2lwllpl"
"312","Byline Bank Aragon Ballroom",2023-11-03,"Lil Yachty","6icQOAFXDZKsumw3YXyusw"
"313","Byline Bank Aragon Ballroom",2023-11-03,"Nick Hakim","1Goe2NezNnym45kco2xTk6"
"314","Radius",2023-11-03,"RL Grime","5eIbEEQnDM8yuDVB0bimSP"
"315","Radius",2023-11-03,"JAWNS","5dXHoJzpLuiEug5rSXeCib"
"316","Bottom Lounge",2023-11-03,"Stick To Your Guns","2sqrupqcoipb7UzVKApEnJ"
"317","Bottom Lounge",2023-11-03,"Comeback Kid","67f7GZXNMGRn98lqrtIdrN"
"318","Bottom Lounge",2023-11-03,"SpiritWorld","3nKWlekyskH6bAM2Vat1hE"
"319","Concord Music Hall",2023-11-03,"Tritonal","521qvhdobR0GzhvU6TFw76"
"320","Schubas",2023-11-03,"Blank Banshee","1oR9pQhucVTJyi5lH2Y2iT"
