"","venue","show_date","artist","artist_id","song","song_id","track_uri"
"31","Chop Shop",2023-10-04,"O.N.E The Duo","4sIPNUYiz7FcZBx1oHuMHe","Feels Good","1kW3gi05cJ2udJ9h8Q34n8","spotify:track:1kW3gi05cJ2udJ9h8Q34n8"
"32","Chop Shop",2023-10-04,"O.N.E The Duo","4sIPNUYiz7FcZBx1oHuMHe","Til You Called My Name","4WywFqh2R5dFCZiB2FRrp8","spotify:track:4WywFqh2R5dFCZiB2FRrp8"
"33","Chop Shop",2023-10-04,"O.N.E The Duo","4sIPNUYiz7FcZBx1oHuMHe","Hearts Like Mine","6vBg7ctQXuLXuu0cUmNf0p","spotify:track:6vBg7ctQXuLXuu0cUmNf0p"
"34","Chop Shop",2023-10-04,"O.N.E The Duo","4sIPNUYiz7FcZBx1oHuMHe","Guilty","4DpCym27veEjQSGmyoIZnM","spotify:track:4DpCym27veEjQSGmyoIZnM"
"35","The Vic Theatre",2023-10-05,"Jessie Ware","5Mq7iqCWBzofK39FBqblNc","Free Yourself","7axM6HbfUTu3dXEIWOYcH1","spotify:track:7axM6HbfUTu3dXEIWOYcH1"
"36","The Vic Theatre",2023-10-05,"Jessie Ware","5Mq7iqCWBzofK39FBqblNc","Say You Love Me","71AATBHZGo82EnjZnG53Zx","spotify:track:71AATBHZGo82EnjZnG53Zx"
"37","The Vic Theatre",2023-10-05,"Jessie Ware","5Mq7iqCWBzofK39FBqblNc","Freak Me Now (with Róisín Murphy)","1iZsKjjHVeFV7jQijZszZc","spotify:track:1iZsKjjHVeFV7jQijZszZc"
"38","The Vic Theatre",2023-10-05,"Jessie Ware","5Mq7iqCWBzofK39FBqblNc","Pearls","5EAbUR2kkfDOCWEcWcb7YG","spotify:track:5EAbUR2kkfDOCWEcWcb7YG"
"39","The Vic Theatre",2023-10-05,"Jessie Ware","5Mq7iqCWBzofK39FBqblNc","What’s Your Pleasure?","2ZcwbSYqc8RfPGMMXTIdb0","spotify:track:2ZcwbSYqc8RfPGMMXTIdb0"
"40","The Vic Theatre",2023-10-05,"Jessie Ware","5Mq7iqCWBzofK39FBqblNc","Freak Me Now","2WMlWvN0y7xoOEtftxdHvz","spotify:track:2WMlWvN0y7xoOEtftxdHvz"
"41","The Vic Theatre",2023-10-05,"Ty Sunderland","31JqNN8V3p95rXgJ7WjeOI","mine (Ty Sunderland Remix)","57ECNe4UG3309LJotOyuoN","spotify:track:57ECNe4UG3309LJotOyuoN"
"42","The Vic Theatre",2023-10-05,"Ty Sunderland","31JqNN8V3p95rXgJ7WjeOI","La La La - Ty Sunderland Remix","56dgyOHwvfMxKkBlY5w5Yy","spotify:track:56dgyOHwvfMxKkBlY5w5Yy"
"43","The Vic Theatre",2023-10-05,"Ty Sunderland","31JqNN8V3p95rXgJ7WjeOI","Taste So Good (The Cann Song)[Remix]","64jShhTAi1bY2e3T18cM3E","spotify:track:64jShhTAi1bY2e3T18cM3E"
"44","The Vic Theatre",2023-10-05,"Ty Sunderland","31JqNN8V3p95rXgJ7WjeOI","Higher (Ty Sunderland Remix)","3hJnH01oKI2NQKNp4x1ZrM","spotify:track:3hJnH01oKI2NQKNp4x1ZrM"
"45","The Vic Theatre",2023-10-05,"Ty Sunderland","31JqNN8V3p95rXgJ7WjeOI","T-Shirt - Ty Sunderland Remix","4FVnj138dP9a0Xx9pUU38A","spotify:track:4FVnj138dP9a0Xx9pUU38A"
"46","The Riviera Theatre",2023-10-05,"Violent Femmes","0rpMdBzQXf7aYRnu5fDBJy","Blister In The Sun","7jIAttgQTpLDoNtykIQXjH","spotify:track:7jIAttgQTpLDoNtykIQXjH"
"47","The Riviera Theatre",2023-10-05,"Violent Femmes","0rpMdBzQXf7aYRnu5fDBJy","Kiss Off","5fj76kVAnqRKKhAw5d06jj","spotify:track:5fj76kVAnqRKKhAw5d06jj"
"48","The Riviera Theatre",2023-10-05,"Violent Femmes","0rpMdBzQXf7aYRnu5fDBJy","Add It Up","61QW3AcU1jm5ttPOn8eZhn","spotify:track:61QW3AcU1jm5ttPOn8eZhn"
"49","The Riviera Theatre",2023-10-05,"Violent Femmes","0rpMdBzQXf7aYRnu5fDBJy","Gone Daddy Gone","7mVoBnU3mxV5Q6n4DmOv6K","spotify:track:7mVoBnU3mxV5Q6n4DmOv6K"
"50","The Riviera Theatre",2023-10-05,"Violent Femmes","0rpMdBzQXf7aYRnu5fDBJy","American Music","21F39lpBdWHu5aRy68V8xj","spotify:track:21F39lpBdWHu5aRy68V8xj"
"51","Concord Music Hall",2023-10-05,"Thrice","3NChzMpu9exTlNPiqUQ2DE","The Artist In The Ambulance","0arNrzPygksLY2pEbRgBjw","spotify:track:0arNrzPygksLY2pEbRgBjw"
"52","Concord Music Hall",2023-10-05,"Thrice","3NChzMpu9exTlNPiqUQ2DE","Black Honey","5OeY5LebIOzD9Zvat1Dikf","spotify:track:5OeY5LebIOzD9Zvat1Dikf"
"53","Concord Music Hall",2023-10-05,"Thrice","3NChzMpu9exTlNPiqUQ2DE","Stare At The Sun","0FXSU5PXzvKl3CpA5h3Hqx","spotify:track:0FXSU5PXzvKl3CpA5h3Hqx"
"54","Concord Music Hall",2023-10-05,"Thrice","3NChzMpu9exTlNPiqUQ2DE","Deadbolt","5Kj6WCM3ZNak8s8DCh95XX","spotify:track:5Kj6WCM3ZNak8s8DCh95XX"
"55","Concord Music Hall",2023-10-05,"Thrice","3NChzMpu9exTlNPiqUQ2DE","Silhouette","37srMbtChDyXYVasOBwb1k","spotify:track:37srMbtChDyXYVasOBwb1k"
"56","Concord Music Hall",2023-10-05,"’68","51EEn3UICoilrrWVZFz30C","Removed Their Hooks","4f42hIAbsvaKdM2d2v5oTg","spotify:track:4f42hIAbsvaKdM2d2v5oTg"
"57","Concord Music Hall",2023-10-05,"’68","51EEn3UICoilrrWVZFz30C","The Captains Sat","7yH3TmjqOcDKj7Eecfmg6S","spotify:track:7yH3TmjqOcDKj7Eecfmg6S"
"58","Concord Music Hall",2023-10-05,"’68","51EEn3UICoilrrWVZFz30C","Whether Terrified or Unafraid","4ebkPNHMYbZWv5pRrdP8ZP","spotify:track:4ebkPNHMYbZWv5pRrdP8ZP"
"59","Concord Music Hall",2023-10-05,"’68","51EEn3UICoilrrWVZFz30C","Without Any Words (Only Crying and Laughter)","710xvqBINcJIqME6cFmSkv","spotify:track:710xvqBINcJIqME6cFmSkv"
"60","Concord Music Hall",2023-10-05,"’68","51EEn3UICoilrrWVZFz30C","With Distance Between","24T2GIt2erAzQQlgSdGAl6","spotify:track:24T2GIt2erAzQQlgSdGAl6"
"61","Concord Music Hall",2023-10-05,"’68","51EEn3UICoilrrWVZFz30C","""End This War""","7czE9NadbIBS6TyWZmGdYn","spotify:track:7czE9NadbIBS6TyWZmGdYn"
"62","Bottom Lounge",2023-10-05,"Sammie","4p07QU02SrLsaORo25h2Lg","Come With Me","57e6uXT6yqldtQXTCtVVAz","spotify:track:57e6uXT6yqldtQXTCtVVAz"
"63","Bottom Lounge",2023-10-05,"Sammie","4p07QU02SrLsaORo25h2Lg","I Like It","0IvTGWbNnCiUi9IOF7ye3F","spotify:track:0IvTGWbNnCiUi9IOF7ye3F"
"64","Bottom Lounge",2023-10-05,"Sammie","4p07QU02SrLsaORo25h2Lg","You Should Be My Girl","4UShquGkpcVgUXzeOeXygW","spotify:track:4UShquGkpcVgUXzeOeXygW"
"65","Bottom Lounge",2023-10-05,"Sammie","4p07QU02SrLsaORo25h2Lg","Tsunami","3a5AVFUzkPgXdi4wrQel0t","spotify:track:3a5AVFUzkPgXdi4wrQel0t"
"66","Bottom Lounge",2023-10-05,"Sammie","4p07QU02SrLsaORo25h2Lg","Peace","4ezCgrQaMkMhzp2UsqlPU4","spotify:track:4ezCgrQaMkMhzp2UsqlPU4"
"67","Metro",2023-10-05,"Tangerine Dream","1BGN1IdyiSR0ZYrkoKNchl","Love On A Real Train - From 'Risky Business' Original Motion Picture Soundtrack","0DYCw5AZIX3S11QQUiPiqN","spotify:track:0DYCw5AZIX3S11QQUiPiqN"
"68","Metro",2023-10-05,"Tangerine Dream","1BGN1IdyiSR0ZYrkoKNchl","We Were Set Up","3Fw1rM7G7L91F2WCnEeeyO","spotify:track:3Fw1rM7G7L91F2WCnEeeyO"
"69","Metro",2023-10-05,"Tangerine Dream","1BGN1IdyiSR0ZYrkoKNchl","The Dream Is Always The Same - From 'Risky Business' Original Motion Picture Soundtrack","7kvFGApAzBV22DwAdyyLuu","spotify:track:7kvFGApAzBV22DwAdyyLuu"
"70","Metro",2023-10-05,"Tangerine Dream","1BGN1IdyiSR0ZYrkoKNchl","No Happy Endings","28b4uBohJrFHFgkgktscPV","spotify:track:28b4uBohJrFHFgkgktscPV"
"71","Metro",2023-10-05,"Tangerine Dream","1BGN1IdyiSR0ZYrkoKNchl","North Yankton Memories","0DDvwrpilEocDgLWlmSEP3","spotify:track:0DDvwrpilEocDgLWlmSEP3"
"72","Lincoln Hall",2023-10-05,"Krooked Kings","6PbMwLmbus5mZl93tX1lXE","Lying Through Their Teeth","2wmy73fHKfiBEhPDkNXAXA","spotify:track:2wmy73fHKfiBEhPDkNXAXA"
"73","Lincoln Hall",2023-10-05,"Krooked Kings","6PbMwLmbus5mZl93tX1lXE","Wish We Could Be Friends","70f0GBfQ0y6DZvC3jytr5R","spotify:track:70f0GBfQ0y6DZvC3jytr5R"
